img_a,img_b,same_person
alice_photo1.jpg,alice_photo2.jpg,1
alice_photo1.jpg,alice_linkedin.jpg,1
bob_id_card.jpg,bob_web_profile.jpg,1
bob_headshot.jpg,bob_conference.jpg,1
charlie_stage1.jpg,charlie_social.jpg,1
charlie_raw.jpg,charlie_avatar.jpg,1
alice_photo1.jpg,bob_id_card.jpg,0
alice_photo1.jpg,charlie_stage1.jpg,0
alice_photo1.jpg,david_photo1.jpg,0
alice_photo1.jpg,emma_photo1.jpg,0
alice_photo1.jpg,frank_photo1.jpg,0
bob_headshot.jpg,charlie_avatar.jpg,0
bob_headshot.jpg,david_photo2.jpg,0
bob_headshot.jpg,emma_photo2.jpg,0
bob_headshot.jpg,frank_photo2.jpg,0
bob_headshot.jpg,grace_photo1.jpg,0
charlie_stage1.jpg,david_photo1.jpg,0
charlie_stage1.jpg,emma_photo1.jpg,0
charlie_stage1.jpg,frank_photo1.jpg,0
charlie_stage1.jpg,grace_photo2.jpg,0
charlie_stage1.jpg,heidi_photo1.jpg,0
david_photo1.jpg,emma_photo1.jpg,0
david_photo1.jpg,frank_photo1.jpg,0
david_photo1.jpg,grace_photo1.jpg,0
david_photo1.jpg,heidi_photo2.jpg,0
david_photo1.jpg,ivan_photo1.jpg,0
emma_photo1.jpg,frank_photo1.jpg,0
emma_photo1.jpg,grace_photo1.jpg,0
emma_photo1.jpg,heidi_photo1.jpg,0
emma_photo1.jpg,ivan_photo2.jpg,0
emma_photo1.jpg,judy_photo1.jpg,0
frank_photo1.jpg,grace_photo1.jpg,0
frank_photo1.jpg,heidi_photo1.jpg,0
frank_photo1.jpg,ivan_photo1.jpg,0
frank_photo1.jpg,judy_photo2.jpg,0
grace_photo1.jpg,judy_photo1.jpg,0
